TEAM_ID,MISSION_TIME,PACKET_COUNT,ALTITUDE,PRESSURE,TEMP_EXT,TEMP_INT,VOLTAGE,GYRO_R,GYRO_P,GYRO_Y,ACC_X,ACC_Y,ACC_Z,GPS_LAT,GPS_LON,GPS_ALT,GPS_SATS,STATE,ERROR_CODE
ISL_1001,00:00:01.0,1,0.20,1013.25,24.50,28.20,8.38,0.2,0.1,45.0,0.01,0.02,0.99,28.613939,77.209021,216.20,11,PRE_LAUNCH,0000
ISL_1001,00:00:02.0,2,0.35,1013.20,24.51,28.21,8.38,0.1,-0.1,45.1,0.00,0.01,1.00,28.613940,77.209022,216.35,11,PRE_LAUNCH,0000
ISL_1001,00:00:03.0,3,92.50,1002.30,23.90,28.25,8.37,2.5,85.2,52.0,0.15,0.22,5.80,28.613945,77.209028,308.50,11,BOOST,0000
ISL_1001,00:00:04.0,4,285.00,980.12,22.65,28.30,8.37,3.1,86.0,64.0,0.12,0.18,6.10,28.613955,77.209040,501.00,11,BOOST,0000
ISL_1001,00:00:05.0,5,540.20,951.40,21.00,28.32,8.36,4.0,84.5,76.0,0.20,0.15,5.90,28.613970,77.209060,756.20,10,BOOST,0000
ISL_1001,00:00:06.0,6,790.80,924.50,19.35,28.35,8.36,2.2,85.1,88.0,0.10,0.12,5.40,28.613990,77.209090,1006.80,10,BOOST,0000
ISL_1001,00:00:07.0,7,980.50,904.20,18.12,28.38,8.35,1.5,83.0,100.0,0.08,0.10,4.20,28.614015,77.209125,1196.50,10,BOOST,0000
ISL_1001,00:00:08.0,8,1000.00,902.15,18.00,28.40,8.35,0.5,10.2,112.0,0.05,0.06,0.98,28.614040,77.209160,1216.00,10,APOGEE,0000
ISL_1001,00:00:09.0,9,998.50,902.30,18.01,28.41,8.35,-12.0,15.4,140.0,0.30,0.40,1.80,28.614070,77.209200,1214.50,10,SEPARATION,0000
ISL_1001,00:00:10.0,10,980.00,904.25,18.13,28.42,8.34,-18.5,20.1,175.0,0.45,0.50,1.20,28.614110,77.209250,1196.00,10,DROGUE_DESCENT,0000
ISL_1001,00:00:11.0,11,962.00,906.15,18.25,28.43,8.34,-15.2,18.0,210.0,0.38,0.42,1.15,28.614155,77.209305,1178.00,10,DROGUE_DESCENT,0000
ISL_1001,00:00:12.0,12,944.00,908.05,18.37,28.43,8.34,-12.0,14.5,245.0,0.30,0.35,1.10,28.614200,77.209360,1160.00,10,DROGUE_DESCENT,0000
ISL_1001,00:00:13.0,13,760.00,927.80,19.56,28.44,8.33,-10.5,12.0,280.0,0.25,0.28,1.08,28.614250,77.209420,976.00,10,DROGUE_DESCENT,0000
ISL_1001,00:00:14.0,14,580.00,947.10,20.73,28.45,8.33,-8.0,9.5,315.0,0.20,0.22,1.05,28.614300,77.209480,796.00,10,DROGUE_DESCENT,0000
ISL_1001,00:00:15.0,15,500.00,955.80,21.25,28.45,8.32,-5.0,6.0,350.0,0.15,0.18,1.02,28.614350,77.209540,716.00,10,MAIN_CHUTE,0000
ISL_1001,00:00:16.0,16,491.20,956.75,21.31,28.46,8.32,4.5,5.2,12.0,0.08,0.10,0.99,28.614390,77.209590,707.20,10,MAIN_CHUTE,0000
ISL_1001,00:00:17.0,17,482.40,957.70,21.36,28.46,8.32,6.0,-4.5,20.0,0.07,0.09,0.99,28.614430,77.209640,698.40,10,MAIN_CHUTE,0000
ISL_1001,00:00:18.0,18,473.60,958.65,21.42,28.47,8.31,-4.0,-6.0,28.0,0.06,0.08,0.98,28.614470,77.209690,689.60,10,MAIN_CHUTE,0000
ISL_1001,00:00:19.0,19,464.80,959.60,21.48,28.47,8.31,-6.5,4.0,36.0,0.08,0.07,0.99,28.614510,77.209740,680.80,10,MAIN_CHUTE,0000
ISL_1001,00:00:20.0,20,0.00,1013.25,24.50,28.50,8.30,12.0,4.0,45.0,0.02,0.01,0.98,28.614550,77.209790,216.00,10,LANDED,0000
